City,Country,Latitude,Longitude
Armidale,Australia,-30.5144881,151.6656564
Hanshin,Japan,35.8445671,139.3829492
Compiegne,France,49.4179497,2.8263171
Turffontein Standside,South Africa,-26.2647,28.017669
Canberra,Australia,-35.2975906,149.1012676
Stratford,United States,42.2715639,-93.927203
Kembla Grange,Australia,-34.470167,150.8175203
Chukyo,Japan,35.13871985,136.9665067949449
San Isidro,Spain,38.1707587,-0.8387399
Turfway Park,United States,39.02423965,-84.63460345488878
Saint-Cloud,France,48.8437412,2.219344
Wexford,United States,39.5430562,-94.395226
Greyville,South Africa,-29.84772585,31.01459929216542
Golden Gate Fields,United States,37.884137499999994,-122.31315617184788
Turffontein Inside,South Africa,-26.2647,28.017669
Fairview,United States,39.841111,-95.728042
Durbanville,South Africa,-33.8402778,18.6494444
Downpatrick,United Kingdom,54.3279335,-5.71649
Flamingo Park,United States,38.8133362,-90.3558227365408
Will Rogers Downs,United States,35.51743,-97.577055
Vaal,Germany,53.999155,9.3698547
Wellington,United States,38.2164592,-85.6691276
Gold Coast,Australia,-28.0023731,153.4145987
Ipswich,United States,45.444419,-99.029278
Wagga Wagga,Australia,-35.115,147.3677778
Fukushima,Japan,37.75454,140.4592144
Fonner Park,United States,40.9052592,-98.32893707236657
Balaklava,Australia,-34.1448045,138.4161903
Hanover,United States,43.703622,-72.288666
Cologne,Germany,50.938361,6.959974
Doomben,Australia,-27.431404,153.0747349
Hoppegarten,Germany,52.550231,13.641194431680784
Longchamp,France,47.260804,5.2864826
Toulouse,France,43.6044622,1.4442469
Marseille Pont-de-Vivaux,France,43.2794454,5.4179119
Angers,France,47.4739884,-0.5515588
Lyon Parilly,France,45.7195177,4.8875525
Strasbourg,France,48.584614,7.7507127
Vichy,France,46.1239268,3.4203712
Marseille Borely,France,43.25770005,5.3788072059764325
La Teste De Buch,France,44.6316943,-1.1491319
Le Lion-D'Angers,France,47.628958850000004,-0.7370899308201252
Dieppe,France,49.9246182,1.0791444
Baden-Baden,Germany,48.7580777,8.2415239
Bordeaux Le Bouscat,France,44.8713437,-0.6254805615016978
Churchill Downs,United States,38.202266550000004,-85.77069167438131
Eagle Farm,Australia,-27.4319245,153.08987197863058
Jagersro,Sweden,55.5730958,13.071497777753578
Chateaubriant,France,47.7194057,-1.3757282
Pau,France,43.2957547,-0.3685668
Clairefontaine,Belgium,49.6665929,5.8652288
Moulins,France,46.5660526,3.3331703
Cidade Jardim,Brazil,-16.6852417,-49.3039467
Fort Erie,Canada,42.91308,-78.918611
Nantes,France,47.2186371,-1.5541362
Yarmouth,United States,41.7056656,-70.2286314
Belmont Park,United States,40.714385899999996,-73.71791279705769
Newmarket,United States,43.082931,-70.935974
San Siro,Italy,46.0469018,9.261518212236489
Tarbes,France,43.232858,0.0781021
Thistledown,United States,37.9936051,-107.6997825
Pontefract,Jamaica,18.2442695,-76.7176152
Beverley,United Kingdom,53.8425488,-0.4315677
Craon,France,47.84831,-0.9518383
Curragh,Australia,-33.9566667,149.2094444
Dresden,United States,42.6839586,-76.9557968
Goodwood,United Kingdom,51.2136769,-1.5924388
Capannelle,Italy,42.9963572,11.3104736
Roscommon,United States,44.3326932,-84.6165164
Thirsk,United Kingdom,54.2327725,-1.3423775
Windsor,United States,41.8525984,-72.6437022
Dax,France,43.7084065,-1.0518771
Redcar,United Kingdom,54.6179021,-1.0687914
Tipperary,United States,41.1136109,-93.1543724
Ripon,United States,37.741595,-121.124382
Dortmund,Germany,51.5142273,7.4652789
Dusseldorf,Germany,51.2254018,6.7763137
Hakodate,Japan,41.768793,140.729008
Delaware Park,United States,36.6626508,-77.0085737
Le Croise-Laroche,France,51.046480450000004,2.397996255051125
Hamilton,United States,41.1691699,-92.903255
Bath,United States,40.1933784,-90.1409523
Kilbeggan,Ireland,53.3678853,-7.4968956
Bellewstown,Ireland,53.6454553,-6.3486621
Sligo,United States,41.1081472,-79.491149
Epsom,United States,38.7853258,-87.0630645
Los Alamitos,United States,33.8038865,-118.0772433
Scottsville,United States,32.5404281,-94.2382471
Woodbine,United States,41.7371441,-95.7021649
Prairie Meadows,United States,38.935373600000005,-95.27347388973182
Killarney,United States,37.6281704,-81.2770458
Newton Abbot,United Kingdom,50.5296441,-3.6112097
York,United States,32.4862491,-88.2964183
Indiana Grand,United States,41.8217983,-87.621299
Hamburg,Germany,53.550341,10.000654
Keeneland,United States,39.1528825,-78.0608319
Salisbury,United States,35.6709727,-80.4742261
Sunshine Coast,Australia,-26.6544338,153.0933668
Saratoga,United States,43.0529612,-73.6417024
Monmouth Park,United States,40.3134015,-74.0151205
Ballinrobe,United States,39.4472294,-76.647588
Perth,United States,48.7163932,-99.4579209
Charles town,United States,39.2891836,-77.859581
Cartmel,United Kingdom,54.2009158,-2.9529069
Del Mar,United States,32.9594891,-117.2653146
Ellis Park,United States,47.492429200000004,-122.14148720634434
Munich,United States,48.669174,-98.832631
Niigata,Japan,37.9160769,139.0365006
Galway,United States,43.0186858,-74.0315162
Vittel,France,48.2020717,5.9418851
Sapporo,Japan,43.061936,141.3542924
Pornichet-La Baule,France,47.2612,-2.34075
Arlington Park,United States,32.8170843,-83.6796263
Chester,United States,43.4910768,-92.360449
Le Touquet,Belgium,50.7112526,2.9126738
San Sebastian,Ecuador,-1.054711,-80.0132156
Ovrevoll,Norway,69.7759361,19.3761694
Hexham,United Kingdom,54.971478,-2.1017927
Evreux,France,49.0268903,1.1510164
Wyong,Australia,-33.2825132,151.4256691
Kentucky Downs,United States,32.493817,-83.670036
Belterra Park,United States,39.051086049999995,-84.41071868443186
Emerald Downs,United States,47.330344749999995,-122.23571360089703
Palermo,United States,43.365069,-76.282431
Cholet,France,47.0617293,-0.8801349
Fontainebleau,France,48.4049375,2.7015872
Hastings,United States,40.5861322,-98.3898883
Listowel,Canada,43.731593,-80.952882
Bro Park,Sweden,59.522243,17.60969923112583
Argentan,France,48.74289,-0.0223386
Nottingham,United States,43.115019,-71.100082
Remington Park,United States,35.8684906,-78.55771642641432
Century Mile,United States,38.907576,-94.726379
Pimlico,United Kingdom,51.4891886,-0.1335498
Club Hipico de Santiago,Chile,-33.463918199999995,-70.6685993152827
La Zarzuela,Spain,40.4835404,-3.8016591
Gulfstream Park West,United States,29.666761,-95.633693
Ankara,Turkey,39.9207886,32.8540482
Hipodromo Chile,Chile,-33.40382,-70.66681
Geelong,Australia,-38.1493084,144.3598004
Aintree,United Kingdom,53.4803632,-2.9376261
Veliefendi,Turkey,40.9959417,28.8978934
Bendigo,Australia,-36.7588767,144.2825931
Riccarton Park,New Zealand,-43.52748725,172.5460855150651
Krefeld,Germany,51.3331205,6.5623343
La Plata,United States,37.3972204,-108.0631295
Mountaineer Park,United States,40.5810332,-80.65756076289779
